arquivo,obra,versao,url_consultada,baixado_em,paginas_pdf,correspondencia_paginas,uso_na_matriz,sha256,bytes
connes_1999_arXiv_math-9811068v1.pdf,"Connes, Trace formula in noncommutative geometry and the zeros of the Riemann zeta function",arXiv:math/9811068v1 (publicado: Selecta Math. 5 (1999) 29-106),https://arxiv.org/pdf/math/9811068,2026-09-14T01:34:34-03:00,88,pagina_pdf = pagina_impressa_arXiv (offset 0); paginação da versão publicada NÃO conferida,"K3a,K3b",dfd4e9924d8980f82e3da11fdea861d318fda8f5c7ba57ee659baf8631975053,519632
conrey_li_2000_arXiv_math-9812166v1.pdf,"Conrey & Li, A note on some positivity conditions related to zeta and L-functions",arXiv:math/9812166v1 (publicado: IMRN 2000(18) 929-940),https://arxiv.org/pdf/math/9812166,2026-09-14T01:35:01-03:00,10,offset 0 (arXiv); publicada não conferida,K4,bdb68ede69e41939be0c2b740cbe1955da8b24940e30eb8c8f4554878dfb4568,133850
bender_brody_muller_2017_arXiv_1608.03679v4.pdf,"Bender, Brody & Müller, Hamiltonian for the zeros of the Riemann zeta function","arXiv:1608.03679v4 (publicado: PRL 118, 130201)",https://arxiv.org/pdf/1608.03679,2026-09-14T01:35:00-03:00,5,offset 0 (arXiv),K2d,08acafd47f9ad13fafa37751e099c23999b217351f0786eceb01cdf19d9eed81,138521
bellissard_2017_arXiv_1704.02644v1.pdf,"Bellissard, Comment on 'Hamiltonian for the zeros of the Riemann zeta function'",arXiv:1704.02644v1,https://arxiv.org/pdf/1704.02644,2026-09-14T01:35:00-03:00,3,offset 0 (arXiv),"K2d,K1",36244a8e472749c1fdf26d5053c6ef3f1b1a84d47af0b480a9d55b334d3eb92e,86411
bbm_reply_2017_arXiv_1705.06767v1.pdf,"Bender, Brody & Müller, Comment on 'Comment on ...'",arXiv:1705.06767v1,https://arxiv.org/pdf/1705.06767,2026-09-14T01:35:00-03:00,2,offset 0 (arXiv),K2d,1ce2c49ac27c975a060d39f5e504d7414cde95835db8035b958148c2974ca908,65246
sierra_2008_arXiv_0712.0705v1.pdf,"Sierra, A quantum mechanical model of the Riemann zeros","arXiv:0712.0705v1 (publicado: New J. Phys. 10, 033016)",https://arxiv.org/pdf/0712.0705,2026-09-14T01:35:00-03:00,42,offset 0 (arXiv); publicada não conferida,K2b,1737c30d5095b406207d561f99ae1539b230d2caf0828960a16b693f42e02b23,427304
sierra_townsend_2008_arXiv_0805.4079v2.pdf,"Sierra & Townsend, Landau levels and Riemann zeros","arXiv:0805.4079v2 (publicado: PRL 101, 110201)",https://arxiv.org/pdf/0805.4079,2026-09-14T01:35:00-03:00,5,offset 0 (arXiv),K2c,64982024fadff79a9535a1c51f50133c45d1e1380eeb7be6606e337a1129406b,187566
marklof_2004_arXiv_math-0407288v2.pdf,"Marklof, Selberg's trace formula: an introduction","arXiv:math/0407288v2 (publicado: Hyperbolic Geometry and Applications in Quantum Chaos and Cosmology, CUP, 83-119)",https://arxiv.org/pdf/math/0407288,2026-09-14T01:38:28-03:00,37,offset 0 (arXiv); publicada não conferida,"K5a,K5b",f528f4ccbe36a34f56d010be7f851b345dbb19240a1da597acc4d0f08944fb5a,373798
berry_keating_1999_SIAMRev41_copia_terceiros.pdf,"Berry & Keating, The Riemann zeros and eigenvalue asymptotics, SIAM Rev. 41(2) 236-266","artigo publicado (PDF de 1999, título interno 34749.dvi); cópia hospedada por terceiros, não pela editora",https://empslocal.ex.ac.uk/people/staff/mrwatkin/zeta/berry-keating1.pdf,2026-09-14T01:37:52-03:00,31,pagina_impressa = pagina_pdf + 235 (pdf 1 = p. 236; pdf 31 = p. 266),"K1,K6",26baa1c22dabb428bfa6f0535eb9c8431774f18b5f294dd11c62d7f4abd71cf1,436625
NAO_E_LAGARIAS_arXiv_math-0010324v4.pdf,"Graham, Lagarias, Mallows, Wilks & Yan, Apollonian Circle Packings III (NÃO é Lagarias 2006)",arXiv:math/0010324v4,https://arxiv.org/pdf/math/0010324,2026-09-14T01:35:01-03:00,37,irrelevante,registro do identificador errado atribuído a Lagarias 2006,89c2fc279ef13dae345bc10d09d5882aa7f8abd38dd0ba0cc451baf6e87a1ead,350122
